,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,2030,2040
Georgia,"82,548","162,686","251,407","340,989","516,823","691,392","906,185","1,057,286","1,184,109","1,542,180","1,837,353","2,216,331","2,609,121","2,895,832","2,908,506","3,123,723","3,444,578","3,943,116","4,589,575","5,463,105","6,478,216","8,186,453","9,687,653","10,716,537","11,842,775","12,808,892"
Hawaii,,,,,,,,,,,,,,,,,,"632,772","768,561","964,691","1,108,229","1,211,537","1,360,301","1,499,329","1,650,906","1,779,125"
Idaho,,,,,,,,,,,"88,548","161,772","325,594","431,866","445,032","524,873","588,637","667,191","712,567","943,935","1,006,749","1,293,953","1,567,582","1,738,146","1,925,330","2,087,293"
Illinois,,,,"55,211","157,445","476,183","851,470","1,711,951","2,539,891","3,077,871","3,826,351","4,821,550","5,638,591","6,485,280","7,630,654","7,897,241","8,712,176","10,081,158","11,113,976","11,426,518","11,430,602","12,419,293","12,830,632","12,886,619","12,929,838","12,697,149"
Indiana,,,,"147,178","343,031","685,866","988,416","1,350,428","1,680,637","1,978,301","2,192,404","2,516,462","2,700,876","2,930,390","3,238,503","3,427,796","3,934,224","4,662,498","5,193,669","5,490,224","5,544,159","6,080,485","6,483,802","6,745,069","7,009,809","7,129,926"
Iowa,,,,,,,"192,214","674,913","1,194,020","1,624,615","1,912,297","2,231,853","2,224,771","2,404,021","2,470,939","2,538,268","2,621,073","2,757,537","2,824,376","2,913,808","2,776,755","2,926,324","3,046,355","3,195,757","3,349,116","3,435,150"
Kansas,,,,,,,,,"364,399","996,096","1,428,108","1,470,495","1,690,949","1,769,257","1,880,999","1,801,028","1,905,299","2,178,611","2,246,578","2,363,679","2,477,574","2,688,418","2,853,118","2,965,624","3,079,467","3,129,638"
Kentucky,,"220,959","406,511","564,317","687,917","779,828","982,405","1,155,684","1,321,011","1,648,690","1,858,635","2,147,174","2,289,905","2,416,630","2,614,589","2,845,627","2,944,806","3,038,156","3,218,706","3,660,777","3,685,296","4,041,769","4,339,367","4,504,111","4,670,409","4,739,798"
Louisiana[2],,,,"153,407","215,739","352,411","517,762","708,002","726,915","939,946","1,118,587","1,381,625","1,656,388","1,798,509","2,101,593","2,363,880","2,683,516","3,257,022","3,641,306","4,205,900","4,219,973","4,468,976","4,533,372","4,798,577","5,074,190","5,251,460"
Maine[3],,,,"298,335","399,455","501,793","583,169","628,279","626,915","648,936","661,086","694,466","742,371","768,014","797,423","847,226","913,774","969,265","992,048","1,124,660","1,227,928","1,274,923","1,328,361","1,330,204","1,330,709","1,302,889"
