name,decade,population,1 per state,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
Alabama,1940,"2,832,961",1,2003205.934,1156551.485,817805.398,633469.3374,517225.5481,437135.3726,378570.3376,333867.6557,298620.3094,270112.233,246577.6051,226818.4074,209993.0405,195492.8817,182866.8462,171773.4917,161949.6011,153188.9865,145327.8329,138234.3423,131801.274,125940.478,120578.8276,115655.1485,111117.8725,106923.2226,103033.7954,99417.44123,96046.37306,92896.45078,89946.6017,87178.34834,84575.42082,82123.43665,79809.63475,77622.65325,75552.34273,73589.60876,71726.27825,69954.98565,68269.0756,66662.51937,65129.84278,63666.06389,62266.63884,60927.4148,59644.58871,58414.67128,57234.45526,56100.98747,55011.5442,53963.60929,52954.85475,51983.12348,51046.41391,50142.86615,49270.74978,48428.45268,47614.47113,46827.40087,46065.92897,45328.82655,44614.94214,43923.19572,43252.5732,42602.12151,41970.94407,41358.19667,40763.08368,40184.85462,39622.801,39076.25343,38544.57895,38027.17859,37523.48511,37032.96094,36555.09626,36089.40723,35635.43435,35192.74096,34760.91184,34339.55188,33928.28493,33526.75262,33134.61337,32751.54138,32377.22575,32011.36965,31653.68949,31303.91423,30961.78468,30627.05285,30299.48136,29978.84291,29664.91967,29357.50288,29056.39233,28761.39593,28472.32934,28189.01553,27911.28447,27638.97274,27371.92327,27109.98496,26853.01248,26600.86593,26353.41064,26110.51688,25872.05968,25637.91857,25407.97744,25182.12427,24960.25101,24742.25337,24528.0307,24317.48577,24110.52468,23907.0567,23706.99413,23510.25219,23316.74888,23126.40489,22939.14346,22754.89033,22573.57358,22395.12355,22219.47281,22046.556,21876.30978,21708.67275,21543.58539,21380.98997,21220.83049,21063.05261,20907.6036,20754.43228,20603.48895,20454.72535,20308.0946,20163.55117,20021.05079,19880.55045,19742.00834,19605.3838,19470.6373,19337.73037,19206.62561,19077.28659,18949.67789,18823.76501,18699.51438,18576.89329,18455.8699,18336.41317,18218.49289,18102.07961,17987.14461,17873.65991,17761.59824,17650.933,17541.63825,17433.68868,17327.05961,17221.72697,17117.66724,17014.8575,16913.27535,16812.89895,16713.70694,16615.67848,16518.79324,16423.03131,16328.37328,16234.80017,16142.29343,16050.83494,15960.40698,15870.99224,15782.57376,15695.13501,15608.65978,15523.13223,15438.53688,15354.85855,15272.08243,15190.194,15109.17905,15029.02369,14949.71431,14871.23758,14793.58045,14716.73016,14640.6742,14565.40031,14490.8965,14417.151,14344.1523,14271.88911,14200.35036
Alabama,1950,"3,061,743",1,2164979.238,1249951.346,883849.0726,684626.5478,558995.2355,472437.2016,409142.6183,360829.8729,322736.0497,291925.7408,266490.5223,245135.627,226951.4907,211280.3396,197634.6608,185645.4381,175028.1975,165560.1002,157064.1019,149397.7609,142445.1759,136111.0785,130316.4362,124995.1346,120091.4408,115558.0428,111354.5163,107446.1155,103802.8093,100398.5081,97210.43746,94218.62772,91405.49505,88755.4955,86254.83744,83891.24143,81653.73843,79532.49957,77518.6917,75604.35446,73782.29503,72045.99782,70389.54656,68807.55698,67295.11829,65847.74226,64461.31873,63132.07662,61856.54964,60631.54617,59454.12252,58321.55931,57231.34058,56181.13502,55168.7794,54192.26366,53249.71761,52339.39895,51459.68253,50609.05068,49786.08444,48989.45569,48217.91998,47470.31005,46745.52993,46042.54958,45360.40003,44698.16886,44054.99621,43430.07099,42822.62749,42231.94227,41657.33125,41098.14708,40553.77673,40023.6392,39507.18351,39003.88674,38513.25228,38034.80821,37568.10577,37112.71796,36668.23824,36234.27931,35810.47199,35396.46418,34991.91987,34596.51825,34209.95285,33831.93071,33462.17173,33100.4079,32746.38266,32399.85034,32060.57554,31728.33263,31402.90523,31084.08576,30771.67496,30465.48152,30165.32167,29871.01881,29582.40317,29299.31146,29021.5866,28749.0774,28481.63831,28219.12913,27961.41479,27708.36511,27459.85457,27215.76213,26975.97101,26740.3685,26508.8458,26281.29785,26057.62316,25837.72367,25621.50461,25408.87434,25199.74425,24994.02861,24791.64448,24592.51158,24396.55219,24203.69104,24013.85524,23826.97415,23642.97932,23461.80439,23283.38504,23107.65887,22934.56535,22764.04577,22596.04314,22430.50213,22267.36904,22106.59171,21948.11948,21791.90312,21637.8948,21486.04805,21336.31767,21188.65972,21043.03147,20899.39135,20757.69892,20617.91485,20480.00083,20343.91958,20209.63482,20077.11119,19946.31429,19817.21057,19689.76738,19563.95288,19439.73605,19317.08665,19195.9752,19076.37294,18958.25185,18841.58458,18726.34445,18612.50543,18500.04213,18388.92976,18279.14413,18170.6616,18063.45912,17957.51417,17852.80474,17749.30934,17647.007,17545.87718,17445.89986,17347.05544,17249.32477,17152.68914,17057.13024,16962.63018,16869.17145,16776.73694,16685.3099,16594.87395,16505.41306,16416.91155,16329.35406,16242.72558,16157.01139,16072.19709,15988.2686,15905.21209,15823.01407,15741.66127,15661.14073,15581.43976,15502.54588,15424.44692,15347.13091
Alabama,1960,"3,266,740",1,2309934.006,1333641.02,943026.6092,730465.2705,596422.3958,504068.9255,436536.4947,384989.0011,344344.6308,311471.4379,284333.2209,261548.5226,242146.8793,225426.4765,210867.1603,198075.2069,186747.096,176645.0684,167580.2261,159400.5902,151982.4995,145224.3067,139041.688,133364.102,128132.0847,123295.156,118810.1851,114640.0999,110752.8585,107120.6245,103719.0987,100526.9743,97525.49019,94698.06165,92029.97367,89508.12463,87120.81108,84857.54606,82708.905,80666.39456,78722.34034,76869.79048,75102.43261,73414.52196,71800.81892,70256.53478,68777.28417,67359.04351,65998.11447,64691.09169,63434.8344,62226.44117,61063.22756,59942.70617,58862.56894,57820.67123,56815.01762,55843.74917,54905.13192,53997.54656,53119.47916,52269.51265,51446.31927,50648.65361,49875.34631,49125.29838,48397.47594,47690.90552,47004.66967,46337.90298,45689.78851,45059.55434,44446.47061,43849.84664,43269.02832,42703.39578,42152.36114,41615.36646,41091.88189,40581.40392,40083.45372,39597.57572,39123.33615,38660.32178,38208.13872,37766.41129,37334.78098,36912.90551,36500.45786,36097.12551,35702.60956,35316.62406,34938.8953,34569.16113,34207.17041,33852.68239,33505.46622,33165.30039,32831.97233,32505.27791,32185.02105,31871.01334,31563.07362,31261.02769,30964.70795,30673.95308,30388.60777,30108.52246,29833.55303,29563.56057,29298.41117,29037.97569,28782.1295,28530.75238,28283.72823,28040.94495,27802.29427,27567.67156,27336.97569,27110.1089,26886.97664,26667.48744,26451.55282,26239.0871,26030.00738,25824.23334,25621.68721,25422.29362,25225.97953,25032.67416,24842.30886,24654.81705,24470.13417,24288.19757,24108.94643,23932.32173,23758.26617,23586.7241,23417.64146,23250.96574,23086.6459,22924.63235,22764.87686,22607.33257,22451.95387,22298.69642,22147.51708,21998.37385,21851.22589,21706.03341,21562.7577,21421.36104,21281.80671,21144.05894,21008.08288,20873.84455,20741.31087,20610.44955,20481.22916,20353.61901,20227.5892,20103.11055,19980.15459,19858.69356,19738.70035,19620.14853,19503.01227,19387.26636,19272.88621,19159.84778,19048.1276,18937.70274,18828.55081,18720.64992,18613.97868,18508.51619,18404.24203,18301.13622,18199.17924,18098.35199,17998.63579,17900.01239,17802.46391,17705.97288,17610.52219,17516.09512,17422.67528,17330.24664,17238.79352,17148.30054,17058.75266,16970.13517,16882.43362,16795.6339,16709.72217,16624.68486,16540.5087,16457.18067,16374.68802
Alabama,1970,"3,444,165",1,2435392.427,1406074.473,994244.7949,770138.7066,628815.6208,531446.1973,460245.9076,405898.7378,363046.8679,328388.2479,299776.085,275753.8914,255298.4953,237669.9647,222319.8948,208833.1778,196889.8082,186239.1136,176681.9366,168058.0437,160237.0575,153111.8101,146593.3975,140607.4473,135091.2657,129991.631,125263.07,120866.4967,116768.1293,112938.6195,109352.3481,105986.8513,102822.3489,99841.35545,97028.35679,94369.53969,91852.56504,89466.3763,87201.03706,85047.59266,82997.95188,81044.7853,79181.43771,77401.85231,75700.50494,74072.34677,72512.75428,71017.48535,69582.64077,68204.63025,66880.14241,65606.11826,64379.72754,63198.34777,62059.54552,60961.05969,59900.78646,58876.76594,57887.16998,56930.29135,56004.53386,55108.4035,54240.50038,53399.51146,52584.20386,51793.41891,51026.06658,50281.12051,49557.61343,48854.63295,48171.31771,47506.85392,46860.47205,46231.4439,45619.07986,45022.72637,44441.76363,43875.60339,43323.68704,42785.4837,42260.48856,41748.22128,41248.22454,40760.06268,40283.3204,39817.60162,39362.52837,38917.73976,38482.89103,38057.65267,37641.70955,37234.76019,36836.51601,36446.70064,36065.04928,35691.30811,35325.23373,34966.59263,34615.16067,34270.72264,33933.07182,33602.00954,33277.34483,32958.89402,32646.48039,32339.93388,32039.09074,31743.79328,31453.88956,31169.23312,30889.68278,30615.10237,30345.36053,30080.33047,29819.88981,29563.92035,29312.30794,29064.94227,28821.71672,28582.52822,28347.27707,28115.86686,27888.20427,27664.199,27443.76362,27226.81347,27013.26654,26803.04337,26596.06697,26392.26268,26191.55815,25993.88319,25799.16971,25607.35166,25418.36494,25232.1473,25048.63834,24867.77938,24689.51343,24513.78512,24340.54065,24169.72773,24001.29552,23835.19459,23671.37688,23509.79563,23350.40535,23193.16177,23038.02182,22884.94357,22733.88619,22584.80992,22437.67604,22292.44683,22149.08556,22007.55641,21867.82448,21729.85575,21593.61707,21459.07609,21326.20128,21194.96187,21065.32786,20937.26997,20810.75963,20685.76895,20562.27072,20440.23836,20319.64593,20200.46809,20082.6801,19966.25779,19851.17753,19737.41627,19624.95144,19513.76102,19403.82346,19295.11771,19187.62319,19081.31975,18976.18771,18872.20781,18769.36123,18667.62953,18566.99467,18467.43902,18368.94531,18271.49664,18175.07646,18079.66857,17985.25713,17891.82659,17799.36175,17707.84771,17617.26989,17527.61399,17438.86601,17351.01222,17264.03918
Alabama,1980,"3,893,888",1,2753394.61,1589673.119,1124068.642,870699.8265,710923.4313,600839.9628,520342.6714,458899.1017,410451.8345,371267.6535,338919.4478,311760.5483,288634.1819,268703.8001,251349.3896,236101.64,222598.7609,210557.3484,199752.2397,190002.2792,181160.0651,173104.436,165734.8795,158967.3119,152730.853,146965.3319,141619.3374,136648.6801,132015.167,127685.6176,123631.0676,119826.1199,116248.4115,112878.1739,109697.867,106691.874,103846.2445,101148.4784,98587.34172,96152.71059,93835.43728,91627.23532,89520.5805,87508.62513,85585.12376,83744.3683,81981.13149,80290.61732,78668.41743,77110.47272,75613.03944,74172.65915,72786.13205,71450.49322,70162.99149,68921.0705,67722.35174,66564.6194,65445.80662,64363.98323,63317.34465,62304.20177,61322.97191,60372.17058,59450.40392,58556.36195,57688.81233,56846.59469,56028.61543,55233.84303,54461.30368,53710.07731,52979.2939,52268.13019,51575.80651,50901.58397,50244.76182,49604.67502,48980.69201,48372.21258,47778.66602,47199.50927,46634.2253,46082.32154,45543.32847,45016.79831,44502.30372,43999.43668,43507.80744,43027.04343,42556.78839,42096.70149,41646.45644,41205.7408,40774.25518,40351.71264,39937.83798,39532.36719,39135.04688,38745.63375,38363.89405,37989.60321,37622.5453,37262.51266,36909.30551,36562.73159,36222.60576,35888.74974,35560.99173,35239.16619,34923.11347,34612.67963,34307.71616,34008.07971,33713.63192,33424.23917,33139.77238,32860.10686,32585.12205,32314.70142,32048.73228,31787.1056,31529.71589,31276.46106,31027.24226,30781.96377,30540.53288,30302.85975,30068.85733,29838.44123,29611.52964,29388.04321,29167.90495,28951.0402,28737.37646,28526.8434,28319.37269,28114.89801,27913.35493,27714.68083,27518.81491,27325.69803,27135.27273,26947.48312,26762.27486,26579.59508,26399.39236,26221.61665,26046.21925,25873.15275,25702.371,25533.82905,25367.48311,25203.29056,25041.20984,24881.20047,24723.22299,24567.23896,24413.21086,24261.10215,24110.87716,23962.50112,23815.94011,23671.16102,23528.13154,23386.82017,23247.19611,23109.22934,22972.89051,22838.15099,22704.98279,22573.35859,22443.2517,22314.63602,22187.48606,22061.77691,21937.48422,21814.58418,21693.05352,21572.86947,21454.00978,21336.45268,21220.17687,21105.16151,20991.38623,20878.83107,20767.47651,20657.30344,20548.29316,20440.42736,20333.68811,20228.05784,20123.51938,20020.05587,19917.65082,19816.28807,19715.95179,19616.62646,19518.29689
Alabama,1990,"4,040,587",1,2857126.468,1649562.735,1166416.996,903502.7201,737706.8818,623476.1099,539946.1498,476187.7446,425915.2668,385254.8543,351687.9568,323505.8683,299508.2353,278826.9928,260818.7693,244996.5734,230984.9845,218489.9218,207277.7396,197160.4574,187985.1202,179626.002,171978.8036,164956.2735,158484.8612,152502.1288,146954.7284,141796.8057,136988.7289,132496.0673,128288.7655,124340.4696,120627.974,117130.7655,113830.6432,110711.4018,107758.5656,104959.1634,102301.538,99775.18419,97370.60953,95079.2154,92893.1941,90805.43999,88809.4723,86899.3679,85069.70261,83315.49972,81632.18479,80015.5458,78461.69797,76967.05255,75528.28919,74142.33128,72806.32399,71517.61465,70273.73516,69072.38621,67911.42309,66788.84291,65702.77308,64651.46088,63633.264,62646.64202,61690.14856,60762.42431,59862.19048,58988.24298,58139.44703,57314.73224,56513.08812,55733.55991,54975.24485,54237.28863,53518.88223,52819.25891,52137.69153,51473.49,50825.99894,50194.59556,49578.68763,48977.71163,48391.13105,47818.43477,47259.13559,46712.76884,46178.89109,45657.07896,45146.92799,44648.05159,44160.08009,43682.6598,43215.45214,42758.1329,42310.39142,41871.92993,41442.46289,41021.71633,40609.42731,40205.34335,39809.22194,39420.82999,39039.94348,38666.34691,38299.83298,37940.20217,37587.26238,37240.82861,36900.7226,36566.77254,36238.8128,35916.68362,35600.2309,35289.3059,34983.76503,34683.46965,34388.28582,34098.08412,33812.73949,33532.13099,33256.14168,32984.65843,32717.57178,32454.77579,32196.16787,31941.64872,31691.12212,31444.49485,31201.67658,30962.57975,30727.11946,30495.21335,30266.78157,30041.74662,29820.03328,29601.56855,29386.28156,29174.10347,28964.96741,28758.80844,28555.56343,28355.17104,28157.57162,27962.70719,27770.52136,27580.95927,27393.96756,27209.4943,27027.48895,26847.90232,26670.68651,26495.79487,26323.18199,26152.80362,25984.61664,25818.57905,25654.64991,25492.7893,25332.95833,25175.11905,25019.23446,24865.26847,24713.1859,24562.95237,24414.53438,24267.89921,24123.01494,23979.85038,23838.3751,23698.55938,23560.37418,23423.79115,23288.78259,23155.32142,23023.38119,22892.93605,22763.96074,22636.43054,22510.32131,22385.60943,22262.2718,22140.28583,22019.62943,21900.28096,21782.21929,21665.42371,21549.87396,21435.55021,21322.43306,21210.5035,21099.74294,20990.13314,20881.65628,20774.29486,20668.03179,20562.85028,20458.73392,20355.66659,20253.63253
Alabama,2000,"4,447,100",1,3144574.567,1815520.973,1283767.191,994401.7903,811925.6618,686202.4276,594268.7345,524095.7611,468765.4994,424014.3481,387070.3719,356052.9564,329640.9836,306879.0549,287059.0706,269645.0445,254223.786,240471.6273,228131.4165,216996.2607,206897.8166,197697.7092,189281.1459,181552.0973,174429.6129,167844.9733,161739.4633,156062.6154,150770.8103,145826.1537,141195.5662,136850.0424,132764.0423,128914.9886,125282.8495,121849.7894,118599.876,115518.8332,112593.831,109813.3072,107166.8145,104644.8892,102238.9379,99941.14028,97744.36344,95642.08838,93628.3452,91697.6565,89844.98762,88065.70277,86355.52632,84710.5085,83126.99488,81601.59933,80131.17981,78712.81676,77343.79377,76021.58021,74743.81559,73508.29552,72312.95902,71155.87702,70035.242,68949.35852,67896.63474,66875.57455,65884.77053,64922.89743,63988.70632,63081.01911,62198.72364,61340.76912,60506.16194,59693.96186,58903.27845,58133.26784,57383.12973,56652.1046,55939.47114,55244.5439,54566.67107,53905.23243,53259.63749,52629.32372,52013.7549,51412.41961,50824.8298,50250.5195,49689.04356,49139.9765,48602.91145,48077.45914,47563.24693,47059.91798,46567.13039,46084.55643,45611.88182,45148.80503,44695.03668,44250.29889,43814.32472,43386.85767,42967.65115,42556.46799,42153.08004,41757.26771,41368.81957,40987.53199,40613.20879,40245.66088,39884.70596,39530.1682,39181.87799,38839.67163,38503.39109,38172.88376,37848.00225,37528.60411,37214.55169,36905.7119,36601.95602,36303.15954,36009.202,35719.96678,35435.34099,35155.21532,34879.48389,34608.04409,34340.79651,34077.64476,33818.49541,33563.25784,33311.84413,33064.16899,32820.14965,32579.70575,32342.75929,32109.23451,31879.05782,31652.15773,31428.46476,31207.91141,30990.43202,30775.96279,30564.44164,30355.8082,30150.00374,29946.9711,29746.65466,29549.00028,29353.95524,29161.46822,28971.4892,28783.9695,28598.86167,28416.11947,28235.69784,28057.55285,27881.6417,27707.92261,27536.35488,27366.89878,27199.51556,27034.16743,26870.81749,26709.42974,26549.96904,26392.40106,26236.69232,26082.8101,25930.72245,25780.39815,25631.80672,25484.91837,25339.70398,25196.1351,25054.18391,24913.82323,24775.02648,24637.76766,24502.02135,24367.76269,24234.96735,24103.61155,23973.67199,23845.12591,23717.951,23592.12544,23467.62786,23344.43736,23222.53346,23101.89611,22982.50567,22864.3429,22747.38897,22631.62543,22517.03418,22403.59752,22291.29808
Alabama,2010,"4,779,736",1,3379783.738,1951319.051,1379790.933,1068781.461,872656.4087,737529.2767,638719.0897,563297.2896,503828.4125,455729.9462,416022.6195,382685.1507,354297.6044,329833.1196,308530.6321,289814.0646,273239.3205,258458.5222,245195.2832,233227.2356,222373.4439,212485.1831,203439.0743,195131.9051,187476.6703,180399.5101,173837.3176,167735.8505,162048.2269,156733.7179,151756.7698,147086.2077,142694.5813,138557.6245,134653.8072,130963.9597,127470.9579,124159.458,121015.6703,118027.1678,115182.7217,112472.1603,109886.2477,107416.5785,105055.4862,102795.9643,100631.5964,98556.49522,96565.24965,94652.87713,92814.78221,91046.71967,89344.76176,87705.26905,86124.86448,84600.41014,83128.98641,81707.87338,80334.534,79006.599,77721.85323,76478.22334,75273.7666,74106.66077,72975.19493,71877.76106,70812.84647,69779.0268,68774.95968,67799.37891,66851.08915,65928.96099,65031.92653,64158.97517,63309.1499,62481.54373,61675.29648,60889.59183,60123.65453,59376.74784,58648.17119,57937.25799,57243.37359,56565.91335,55904.30096,55257.98674,54626.44615,54009.17836,53405.70491,52815.56851,52238.33185,51673.57654,51120.90207,50579.92492,50050.27761,49531.60788,49023.57796,48525.86377,48038.15427,47560.15079,47091.56645,46632.12555,46181.56305,45739.62405,45306.06332,44880.64486,44463.14141,44053.33413,43651.01215,43255.97224,42868.01846,42486.96185,42112.62009,41744.81723,41383.38344,41028.15469,40678.97256,40335.68395,39998.14091,39666.2004,39339.72406,39018.57808,38702.63298,38391.76342,38085.84808,37784.76946,37488.41375,37196.67069,36909.43341,36626.59834,36348.06503,36073.73609,35803.51703,35537.31619,35275.04459,35016.61587,34761.9462,34510.95413,34263.56059,34019.68873,33779.26389,33542.2135,33308.467,33077.95581,32850.61321,32626.37432,32405.17601,32186.95686,31971.65707,31759.21846,31549.58436,31342.69961,31138.51047,30936.9646,30738.01099,30541.59996,30347.68308,30156.21314,29967.14411,29780.43111,29596.03039,29413.89924,29233.99603,29056.28012,28880.71186,28707.25256,28535.86445,28366.51064,28199.15514,28033.76277,27870.29921,27708.73089,27549.02506,27391.14969,27235.07349,27080.76589,26928.19698,26777.33754,26628.15902,26480.63345,26334.73354,26190.43254,26047.70433,25906.52332,25766.86449,25628.70336,25492.01597,25356.77886,25222.96907,25090.56411,24959.542,24829.88116,24701.5605,24574.55935,24448.85745,24324.43498,24201.27249,24079.35095,23958.65169
Alabama,2020,"4,931,806",1,3487313.818,2013401.571,1423689.904,1102785.458,900420.556,760994.2639,659040.3647,581218.9696,519858.0504,470229.2993,429258.6574,394860.5347,365569.8196,340326.9809,318346.7405,299034.6929,281932.6122,266681.5529,252996.3352,240647.516,229448.4037,219245.5413,209911.6245,201340.1571,193441.3659,186139.0411,179368.0682,173072.4788,167203.8996,161720.3059,156585.0129,151765.8537,147234.5048,142965.928,138937.9082,135130.6656,131526.5317,128109.6742,124865.8648,121782.2811,118847.337,116050.5373,113382.3522,110834.1087,108397.8968,106066.4867,103833.2579,101692.136,99637.53765,97664.32172,95767.74658,93943.43195,92187.32511,90495.67084,88864.98465,87292.02876,85773.79071,84307.46402,82890.43093,81520.24679,80194.62597,78911.42917,77668.65182,76464.41374,75296.94956,74164.6001,73065.80454,71999.0932,70963.08102,69956.46149,68978.00126,68026.53498,67100.96076,66200.23588,65323.37285,64469.43583,63637.53729,62826.83492,62036.52881,61265.85878,60514.10198,59780.57061,59064.6098,58365.59571,57682.93368,57016.05655,56364.42307,55727.51649,55104.84313,54495.93115,53900.32932,53317.60593,52747.34776,52189.15906,51642.66066,51107.48911,50583.29588,50069.74658,49566.52027,49073.3088,48589.81613,48115.75781,47650.86036,47194.86077,46747.50603,46308.55259,45877.76599,45454.92042,45039.79829,44632.18992,44231.89314,43838.71295,43452.46126,43072.95651,42700.02346,42333.49287,41973.20128,41618.99071,41270.70852,40928.20709,40591.34369,40259.98024,39933.98313,39613.22305,39297.57481,38986.91717,38681.13271,38380.10764,38083.73172,37791.89806,37504.50303,37221.44613,36942.62987,36667.95967,36397.34372,36130.69293,35867.92076,35608.94322,35353.67868,35102.04788,34853.97376,34609.38145,34368.19815,34130.35309,33895.77744,33664.40424,33436.16836,33211.00642,32988.85672,32769.65924,32553.35549,32339.88856,32129.20301,31921.24481,31715.96137,31513.30139,31313.21492,31115.65323,30920.56884,30727.91545,30537.64789,30349.72211,30164.09516,29980.7251,29799.57103,29620.593,29443.75206,29269.01015,29096.33012,28925.67568,28757.01141,28590.3027,28425.51572,28262.61744,28101.57557,27942.35856,27784.93557,27629.27645,27475.3517,27323.13252,27172.5907,27023.69867,26876.42946,26730.75668,26586.65452,26444.0977,26303.06151,26163.52174,26025.45469,25888.83719,25753.64652,25619.86044,25487.45717,25356.41539,25226.71421,25098.33315,24971.25216,24845.4516,24720.91221
